arduino_ms,emg_raw,label
2,-108,bad
4,-107,bad
6,-33,bad
8,59,bad
10,101,bad
12,70,bad
14,33,bad
16,-25,bad
18,-29,bad
20,-14,bad
22,-3,bad
24,-6,bad
26,-38,bad
28,-93,bad
31,-96,bad
33,-23,bad
35,52,bad
37,64,bad
39,2,bad
41,-29,bad
43,-9,bad
45,39,bad
47,58,bad
49,29,bad
51,-60,bad
53,-64,bad
55,-19,bad
57,31,bad
59,46,bad
61,25,bad
63,-34,bad
65,-79,bad
67,-63,bad
69,-8,bad
71,30,bad
74,37,bad
76,-37,bad
78,-108,bad
80,-123,bad
82,-16,bad
84,113,bad
86,126,bad
88,87,bad
90,45,bad
92,-26,bad
94,-64,bad
96,-55,bad
98,-17,bad
100,3,bad
102,14,bad
104,6,bad
106,-17,bad
108,-55,bad
110,-42,bad
112,-16,bad
114,-58,bad
116,-59,bad
118,-58,bad
120,24,bad
122,79,bad
124,78,bad
126,44,bad
128,-45,bad
130,-87,bad
132,-38,bad
134,5,bad
136,21,bad
138,25,bad
140,29,bad
142,28,bad
144,-8,bad
146,-112,bad
148,-61,bad
150,9,bad
152,36,bad
154,-26,bad
156,4,bad
159,1,bad
161,-89,bad
163,-71,bad
165,40,bad
167,98,bad
169,76,bad
171,42,bad
173,-9,bad
175,-40,bad
177,-50,bad
179,-32,bad
181,-1,bad
183,11,bad
185,-13,bad
187,-21,bad
189,-24,bad
191,-5,bad
193,13,bad
195,11,bad
197,-2,bad
199,-36,bad
202,-51,bad
204,-19,bad
206,-7,bad
208,-26,bad
210,-19,bad
212,6,bad
214,18,bad
216,30,bad
218,17,bad
220,4,bad
222,-75,bad
224,-74,bad
226,-32,bad
228,11,bad
230,39,bad
232,51,bad
234,34,bad
236,9,bad
238,-8,bad
240,-18,bad
242,-21,bad
244,-23,bad
246,-29,bad
248,-12,bad
250,-7,bad
252,-5,bad
254,-6,bad
256,-11,bad
258,-10,bad
260,-7,bad
262,-4,bad
264,-5,bad
266,-10,bad
268,-14,bad
270,-12,bad
272,-5,bad
274,-3,bad
276,-9,bad
278,-26,bad
280,-13,bad
282,-17,bad
284,-22,bad
287,-7,bad
