arduino_ms,emg_raw,label
2,-66,good
4,-25,good
6,44,good
8,47,good
10,16,good
12,-9,good
14,-14,good
16,-8,good
18,-10,good
20,-4,good
22,-67,good
24,-122,good
26,-15,good
28,69,good
31,87,good
33,41,good
35,-16,good
37,-43,good
39,-53,good
41,-24,good
43,9,good
45,14,good
47,-5,good
49,6,good
51,18,good
53,-19,good
55,-16,good
57,18,good
59,19,good
61,-31,good
63,-40,good
65,-1,good
67,26,good
69,13,good
71,7,good
73,-7,good
75,-38,good
77,-20,good
79,2,good
81,10,good
83,3,good
85,-115,good
87,-69,good
89,24,good
91,60,good
93,56,good
95,26,good
97,-11,good
99,-10,good
101,1,good
103,5,good
105,4,good
107,-26,good
109,-25,good
111,-19,good
113,-18,good
116,-1,good
118,-22,good
120,-11,good
122,16,good
124,25,good
126,6,good
128,-1,good
130,-6,good
132,-42,good
134,-45,good
136,-44,good
138,-19,good
140,29,good
142,49,good
144,19,good
146,6,good
148,-9,good
150,-18,good
152,-94,good
154,-41,good
156,32,good
159,58,good
161,33,good
163,6,good
165,-20,good
167,-27,good
169,-36,good
171,-11,good
173,-35,good
175,-12,good
177,24,good
179,16,good
181,12,good
183,0,good
185,-8,good
187,-12,good
189,-15,good
191,-7,good
193,-5,good
195,4,good
197,-18,good
199,-39,good
201,-25,good
203,10,good
205,20,good
207,12,good
209,-17,good
211,-32,good
213,-16,good
215,-7,good
217,-24,good
219,-61,good
221,-2,good
223,41,good
225,39,good
227,25,good
229,1,good
231,-51,good
233,-38,good
235,-13,good
237,12,good
239,31,good
241,17,good
244,2,good
246,-15,good
248,-10,good
250,-7,good
252,-10,good
254,-26,good
256,-13,good
258,12,good
260,13,good
262,-6,good
264,-34,good
266,-35,good
268,-9,good
270,9,good
272,26,good
274,5,good
276,-42,good
278,-52,good
280,-2,good
282,27,good
284,30,good
287,7,good
289,3,good
291,-10,good
293,-25,good
295,-68,good
297,-45,good
299,26,good
301,53,good
303,-20,good
305,-47,good
307,5,good
309,50,good
311,23,good
313,-56,good
315,-53,good
317,-4,good
319,43,good
321,45,good
323,5,good
325,-30,good
327,-29,good
329,-20,good
331,-1,good
333,13,good
335,7,good
337,-18,good
339,-120,good
341,-34,good
343,49,good
345,76,good
347,28,good
349,-24,good
351,-19,good
353,-8,good
355,2,good
357,9,good
359,-32,good
361,-43,good
363,-14,good
365,15,good
367,7,good
369,-13,good
372,2,good
374,-2,good
376,5,good
378,-19,good
380,-10,good
382,8,good
384,14,good
386,-140,good
388,-72,good
